id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36910044,❤️JFK ***New Listing*** Presidential Suite ❤️,11637266,Jg,,District 2,32.77853,-96.79447,Entire home/apt,255,31,16,2019-11-18,0.49,1,150,0,
36932012,Big 4 Bed 2 Bath with a pool. Close to down town,57564663,Adam,,District 4,32.70284,-96.84665,Entire home/apt,200,30,21,2022-03-07,0.64,1,134,3,
36971877,30 DAY Minimum Dallas Oasis,30670318,Tamara,,District 14,32.81908,-96.7952,Entire home/apt,89,20,1,2020-06-17,0.05,1,269,0,
36974689,Light & Airy Studio 15mins to Downtown dogfriendly,27014592,Skye,,District 3,32.70213,-96.85852,Entire home/apt,79,3,108,2022-03-06,3.39,2,0,28,
36978338,"Home near the lake, close to the highway",211017714,Shaun,,District 9,32.89485,-96.5169,Private room,35,1,0,,,1,0,0,
37010197,Henderson Hot Spot - Condo B,113547397,Rusty,,District 2,32.8163,-96.77705,Entire home/apt,90,30,64,2022-03-10,1.98,4,258,8,
37036054,Downtown Dallas 3BR Loft+Pool+Free Parking+Gym❤️️,36151189,Grace,,District 2,32.77734,-96.79548,Entire home/apt,176,1,134,2022-04-08,4.13,19,278,44,
37050677,Mid-Rise beauty Heart of Downtown Dallas,256301119,Stay Lux,,District 2,32.77677,-96.79478,Entire home/apt,148,1,135,2022-03-17,4.12,6,334,62,
37050962,Spacious Downtown Dallas Apt w/Pool Gym Wifi Valet,256301119,Stay Lux,,District 2,32.77822,-96.79655,Entire home/apt,167,1,159,2022-03-25,4.83,6,60,66,
37056460,Excellent Airbnb in a Great location.  LOOK !!,57792678,Alex,,District 13,32.92411,-96.81202,Entire home/apt,70,120,1,2020-03-31,0.04,2,57,0,
37085331,🌻The Urban Farmhaus🌻 ARBORETUM TICKETS INCLUDED,57933646,Nicole And Brad,,District 14,32.82389,-96.76472,Entire home/apt,80,1,179,2022-03-31,5.50,14,323,63,
37091760,Serene Bungalow in the City,60226438,Jesse,,District 2,32.81546,-96.77683,Entire home/apt,118,2,13,2022-03-27,0.42,5,363,10,
37097726,Comfy 3 bedroom duplex with ramp! Pets welcome!,265268931,Tia,,District 9,32.82669,-96.68071,Entire home/apt,105,2,53,2022-01-16,1.63,2,142,15,
37118208,The Guild Victory Park | Katy Trail | Studio,265467659,The Guild,,District 2,32.79443,-96.81341,Entire home/apt,249,1,25,2020-03-16,0.80,4,83,0,
37125793,The Unique Deep Ellum/Lower Greenville LightShow 2,51377763,Prince,,District 2,32.80574,-96.77225,Entire home/apt,87,1,324,2022-03-26,9.84,6,72,86,
37126843,Your Perfect Family Dallas Getaway Retreat,64526429,Asher,,District 10,32.91477,-96.70847,Entire home/apt,279,1,67,2022-03-05,2.04,9,361,16,
37130318,Comfortable Condo for Extended Stays,50210533,Joseph,,District 11,32.9628,-96.80848,Entire home/apt,64,31,2,2020-06-29,0.07,1,0,0,
37142764,Ghetto Fabulous,277838773,Stormy,,District 7,32.75467,-96.75969,Entire home/apt,70,2,1,2020-02-09,0.04,1,0,0,
37143841,Henderson Hot Spot - Condo A,113547397,Rusty,,District 2,32.81712,-96.77735,Entire home/apt,96,30,38,2022-01-12,1.20,4,226,7,
37151510,The Guild Victory Park | Katy Trail | 1BR + Den,265467659,The Guild,,District 2,32.79443,-96.81341,Entire home/apt,279,1,4,2021-10-09,0.12,4,116,2,
37151549,The Guild Victory Park | Katy Trail | 2BR Suite,265467659,The Guild,,District 2,32.79443,-96.81341,Entire home/apt,329,1,174,2022-02-27,5.60,4,107,35,
37155668,"2 Bedroom|1 King, 1 Queen & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas",305350123,Corporate,,District 2,32.77722,-96.7964,Entire home/apt,170,1,36,2021-02-28,1.14,23,59,0,
37156651,Corporate 1bedroom 2 beds Uptown Dallas/Pool/Parking/Washer dryer,188733636,Elegant,,District 14,32.82412,-96.78624,Entire home/apt,114,1,7,2022-01-03,0.23,52,345,2,
37156978,Stylish 1 bedroom Apt Uptown Dallas | Parking | Washer & Dryer,188733636,Elegant,,District 14,32.82533,-96.78655,Entire home/apt,114,1,18,2021-11-20,0.56,52,353,5,
37185800,Central Dallas 1 bed 1 bath Comfy Home To Stay,187163568,Alicia,,District 14,32.82299,-96.78817,Entire home/apt,86,2,7,2022-03-27,1.35,1,88,7,
37211394,Sunny Penshire,280113126,Guadalupe Marie,,District 7,32.78899,-96.69119,Entire home/apt,175,1,23,2020-08-29,0.78,2,127,0,
37220066,Condo near medical city,166905228,Ester,,District 13,32.92292,-96.81025,Entire home/apt,150,4,1,2021-06-25,0.10,12,365,1,
37220245,Private Master Suite Access to all Dallas Freeways,37853441,Azar,,District 11,32.93551,-96.76924,Private room,43,2,15,2022-03-26,0.46,6,254,2,
37233537,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.83028,-96.85189,Entire home/apt,120,70,0,,,321,19,0,
37234046,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.83019,-96.85007,Entire home/apt,120,40,0,,,321,19,0,
37234210,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.83008,-96.85027,Entire home/apt,120,20,0,,,321,19,0,
37234283,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.83075,-96.85024,Entire home/apt,150,12,3,2021-01-10,0.15,321,19,0,
37234513,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.82867,-96.8506,Entire home/apt,165,7,3,2021-03-30,0.14,321,19,0,
37234841,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.82901,-96.85186,Entire home/apt,140,5,5,2021-10-19,0.18,321,19,1,
37234970,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.8307,-96.8509,Entire home/apt,180,3,3,2020-01-20,0.09,321,19,0,
37235102,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.83019,-96.8522,Entire home/apt,200,2,4,2021-02-14,0.12,321,19,0,
37289908,"Texas Townhouse - Great Location - Golf, Lake!",222093719,Mary,,District 9,32.84163,-96.61315,Private room,75,1,6,2021-12-31,0.20,1,177,4,
37319697,Shared space with security & easy access to DART,25193642,Aimee,,District 10,32.90885,-96.71476,Shared room,40,2,0,,,1,0,0,
37328736,long term |Chic | Highland Park Adjacent,430957331,Deisy,,District 14,32.82055,-96.81204,Entire home/apt,367,2,21,2021-12-31,0.67,18,169,3,
37335545,Stylish 2/2 Modern Uptown HiRise w Views & Cable,26805375,Ace,,District 14,32.80589,-96.79563,Entire home/apt,128,2,33,2021-09-21,1.03,6,246,1,
37362422,Beautiful 3bd/2ba Duplex Central location! NEW!,15446227,Mindy & Chau,,District 11,32.93063,-96.76635,Entire home/apt,119,14,10,2022-01-04,0.32,4,89,3,
37387937,Luxury 3 floor Condo in heart of Uptown w/ rooftop,33481256,Keith,,District 14,32.80379,-96.80063,Entire home/apt,188,2,18,2022-04-04,0.57,1,270,6,
37424426,"Spacious Townhome near Midtown, i635, and Tollway!",20542691,Hollie + Greg,,District 11,32.93071,-96.796,Entire home/apt,171,30,18,2021-12-02,0.59,3,15,1,
37425600,"Lower Greenville Dallas Apt, Steps from Everything",26446480,Shane,,District 2,32.81657,-96.77475,Entire home/apt,88,2,83,2022-04-05,2.59,1,79,33,
37426742,Bungalow Beauty - Historic Home Guest House,1509921,Robert,,District 14,32.81489,-96.81231,Entire home/apt,81,2,143,2022-04-03,4.45,4,77,50,
37432565,A++ Location ⭐Lux Pool ⭐3 Kings ⭐Fire Pit,6064671,Aaron,,District 11,32.89547,-96.78753,Entire home/apt,587,2,53,2022-02-06,1.84,1,313,11,
37434343,UPTOWN DALLAS | CHARMING 2BR APT | POOL+PARKING❤️️,36151189,Grace,,District 14,32.80111,-96.79318,Entire home/apt,206,1,115,2022-02-22,3.86,19,72,47,
37443021,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.82933,-96.85019,Entire home/apt,200,4,4,2021-04-25,0.16,321,311,1,
37443143,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.82873,-96.85094,Entire home/apt,185,3,0,,,321,311,0,
37443266,KING BED | FREE PARKING | FULL KITCHEN | GYM  POOL,108514926,Dalls,,District 2,32.82882,-96.85198,Entire home/apt,165,2,3,2020-01-25,0.09,321,311,0,
37443537,AMAZING PRICE West-Village Walk Anywhere,108514926,Dalls,,District 14,32.79844,-96.78635,Entire home/apt,120,20,3,2021-02-15,0.09,321,288,0,
37456503,Downtown City Pink Apt with FREE parking.,171284899,Karteonia,,District 14,32.78003,-96.7967,Entire home/apt,152,1,31,2022-03-22,4.89,1,110,31,
37457113,Cubist | Highland Park | Long term,430957331,Deisy,,District 14,32.82146,-96.81009,Entire home/apt,355,2,10,2021-10-13,0.35,18,158,3,
37458737,#Black Room | Social House in Dallas,4450257,Arvin,,District 10,32.92322,-96.73686,Private room,47,10,31,2022-02-28,0.96,4,87,8,
